Binned_top,Binned_bottom,Binned_stage,Binned_epoch,Binned_period,mean_d13C,stdev_d13C,N_d13C,mean_d18O,stdev_d18O,N_d18O,mean_d34S,stdev_d34S,N_d34S,mean_87Sr.86Sr,stdev_87Sr.86Sr,N_87Sr.86Sr,data_subset
260.4,265.5,Capitanian,Guadalupian,Permian,4.853,0.780223315,20,-2.796,1.268527534,20,11,NA,1,0.7071732,0.000313435,5,no benthics
265.5,268,Wordian,Guadalupian,Permian,5.966956522,1.527711999,23,-4.134782609,2.10291112,23,14.1,4.344536799,5,0.707232667,0.000141302,3,no benthics
268,270.6,Roadian,Guadalupian,Permian,3.404615385,1.986322462,13,-3.360769231,0.87565653,13,NA,NA,0,0.707082,NA,1,no benthics
270.6,275.6,Kungurian,Cisuralian,Permian,4.244634146,1.535286777,41,-3.654634146,2.558893411,41,14.4,1.272792206,2,0.707006872,8.48E-05,9,no benthics
275.6,284.4,Artinskian,Cisuralian,Permian,3.147857143,1.470045413,14,-4.876666667,1.883272458,12,12.58333333,1.08888322,6,0.707169235,0.00016623,48,no benthics
284.4,294.6,Sakmarian,Cisuralian,Permian,3.1425,1.678057976,8,-4.4725,2.017386924,8,NA,NA,0,0.707566333,0.000266031,40,no benthics
294.6,299,Asselian,Cisuralian,Permian,4.311923077,1.039584606,26,-2.680769231,1.988003869,26,12.6,NA,1,0.707962258,0.000148195,22,no benthics
299,303.9,Gzelian,Late Pennsylvanian, Pennsylvanian,3.698980583,1.035469696,206,-2.596456311,0.910317321,206,12.5,0.141421356,2,0.708201007,8.93E-05,10,no benthics
303.9,306.5,Kasimovian,Late Pennsylvanian, Pennsylvanian,3.761917808,1.028486896,219,-2.253881279,0.698272445,219,11.55,0.494974747,2,0.708251706,8.72E-05,17,no benthics
306.5,311.7,Moscovian,Middle Pennsylvanian, Pennsylvanian,4.719270759,1.468788351,165,-2.636655701,1.058453032,168,13.325,0.394757309,4,0.708279488,4.45E-05,41,no benthics
311.7,318.1,Bashkirian,Early Pennsylvanian, Pennsylvanian,4.498000769,1.151715621,108,-2.769581901,2.25325693,107,15.55714286,0.818244346,7,0.708276828,9.65E-05,29,no benthics
318.1,326.4,Serpukhovian,Late Mississipian,Mississipian,2.498823548,1.649285045,107,-3.161441008,1.627006213,109,14.5875,0.944816687,8,0.70802013,0.000159095,31,no benthics
326.4,345.3,Visean,Middle Mississipian,Mississipian,2.721746413,1.524571885,304,-4.147130825,2.622939841,304,15.25454545,2.273483511,11,0.707842963,0.000184999,196,no benthics
345.3,359.2,Tournaisian,Early Mississipian,Mississipian,2.743454155,1.760538651,161,-3.787639394,2.046047716,161,19.56666667,1.803699901,3,0.708086662,0.000231644,84,no benthics
359.2,374.5,Fammenian,Late Devonian,Devonian,1.057857143,1.378615401,28,-5.68175,1.799176289,40,NA,NA,0,0.708255904,0.000155352,48,no benthics
374.5,385.3,Frasnian,Late Devonian,Devonian,0.858515625,1.490372149,64,-5.998685484,1.571403284,93,24.02,1.999249859,5,0.708108551,7.69E-05,87,no benthics
385.3,391.8,Givetian,Middle Devonian,Devonian,0.914360406,1.422081801,197,-5.11764,1.616569946,223,23.1,0.707106781,2,0.707853846,5.60E-05,55,no benthics
